Sigla Empresa,Nombre,Fecha,A¤o,N£mero de Mes,Origen,Nombre.1,Ciudad Origen,Pais Origen,Destino,Nombre.2,Ciudad Destino,Pais Destino,Tr fico (N/I),Tipo Vuelo,Pasajeros,Carga + Correo (Kg),Tr fico (N/I) 2,Tipo Vuelo 2,Tipo Vuelo (Regular - No Regular),Mes
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,XNA,FAYETTEVELLI,ARKANSAS,ESTADOS UNIDOS,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,38,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,XNA,FAYETTEVELLI,ARKANSAS,ESTADOS UNIDOS,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,9,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,YUL,MONTRAL-PIERRE ELLIOTT TRUDEAU INT,MONTREAL,CANADA,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,I,R,23,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,YUL,MONTRAL-PIERRE ELLIOTT TRUDEAU INT,MONTREAL,CANADA,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,33,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,YUL,MONTRAL-PIERRE ELLIOTT TRUDEAU INT,MONTREAL,CANADA,CTG,CARTAGENA - RAFAEL NU¥EZ,CARTAGENA DE INDIAS,COLOMBIA,I,R,95,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,YUL,MONTRAL-PIERRE ELLIOTT TRUDEAU INT,MONTREAL,CANADA,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,I,R,66,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,YVR,VANCOUVER INTERNATIONAL,VANCOUVER,CANADA,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,45,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,YYC,"CALGARY INTL,ALTA",CALGARY,CANADA,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,62,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,YYZ,LESTER B PEARSON INTL,TORONTO,CANADA,BAQ,BARRANQUILLA-E. CORTISSOZ,BARRANQUILLA,COLOMBIA,I,R,43,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,YYZ,LESTER B PEARSON INTL,TORONTO,CANADA,BOG,BOGOTA - EL DORADO,"BOGOT?, D.C.",COLOMBIA,I,R,57,0,Internacional,Regular,Regular,marzo
AAL,AMERICAN AIRLINES,3/1/2025,2025,3,YYZ,LESTER B PEARSON INTL,TORONTO,CANADA,CLO,CALI - ALFONSO BONILLA ARAGON,SANTIAGO DE CALI,COLOMBIA,I,R,1,0,Internacional,Regular,Regular,marzo
